questions,types
What's the title of the episode with production code 10018?,0
How many millions of people in the US saw the episode with season number 1?,3
"How many places has the rank changed since 2006, for Clane? ",3
In what counties is the 2011 population 17908?,0
In what urban area is the 2011 population 21561? ,0
Which urban area has a 2011 population of 5010? ,0
what were the result in semifinals when saengsawang ( tha ) l 9-15 was  in 1/8 finals?,0
wich were the events when bout 2 was zhang ( chn ) l 0-5?,0
Which were the bout 1 when the bout 5 was andreev ( rus ) w 5-2?,0
"when Sanchez ( esp ) w 5-0 were the bout 6, which were the class?",0
Which QB had a rating of 72.3?,0
what is the play-off in group stage 4 and clubs is 12,0
which club in group stage 4 had member association iran,0
who write the episode that have 14.39 million viewers,0
who directed the episode that have 14.59 million viewers,0
who write the episode 5 in no. in season,0
How many clubs are there in the Korea Republic?,0
What is the house colour associated with the house name of Kupe?,0
what is the title of the episode where b b is 20/16,0
How many division titles are there when the win pc is .558?,0
How many villages are there in the Magway region?,0
How many seasons for Monaco?,0
Who is the competitor from France with 10 starts?,0
When portsmouth is the city of license who is the licensee?,0
When 790 am is the frequency what is the format?,0
When 90.7 fm is the frequency who is the licensee?,0
"How many current drivers, as of March 20, 2010 does Denmark have?",3
Where was the season that ended on June 25 located?,0
When did the season that end in July ? start?,0
When did the season with 1 team format premiere?,0
What's the format of the season that ended on June 25?,0
What's season 3's premiere date?,0
When did the season located in the Netherlands premier?,0
Name the viewers for the episode directed by tony phelan,0
Name the original air date for 15.74 viewers,0
Name the title for us viewers being 18.29,0
Name the platforms for cityengine,0
Name the license for e-on vue,0
Name the license for 2009-05-25 v 7.61,0
Name the application for caligari corporation,0
What was the production format for the series with the local title Fort Boyard: Ultimate Challenge?,0
What were the television air dates for the series that had a production start date of June 16?,0
Name the week number for the beatles,0
Name the result for 1980s,0
Name the order number for 1960s,0
Name the result for dolly parton,0
Name the song choice for michael jackson,0
What was the original air date of the episode written by Michelle Offen?,0
What is the title of the episode written by Vanessa Bates? ,0
"What was the original air date for the episode Calle, The Transit of Venus? ",0
What is the completion percentage when yards per attempt was done by Steve McNair : 2003?,0
What rank has a rating of 146.8? ,0
How many yards per attempt were there when total yards were 513?,0
What is the title for the episode that written by Michael Miller?,0
"If the playoff berth is 17, what is the AFC championship number?",0
What was the draw for the english meaning Eyes that Never Lie?,0
"Who was the artist for the origin Shake it, Europe?",0
What is the arena capacity of the arena in the town whose head coach is Roberto Serniotti?,0
Who are the foreign players on team/s that play in Moscow?,0
What are the previous season ranks of teams whose website is www.novavolley.narod.ru?,0
What is the indoor number for the NJ wing/ ,0
What is the winning span of the name martin kaymer?,0
What is the winning span in the country of England with the name of paul casey?,0
What is the winning span for the name of bernard gallacher?,0
What is the winning span with the rank of 5?,0
What was the venue for the match on October 10? ,0
Who was the man of the match when the Rockets won by 9 wickets? ,0
Name the vacator for wisconsin 1st,0
Name the successor for pennsylvania 15th,0
Name the circuit for #47 orbit racing ,0
Name the gt2 winning team where lmp2 winning team and butch leitzinger marino franchitti ben devlin,0
Name the lmp 1 winning team for rnd being 2 and adrian fernández luis díaz,0
Which capitals have an area of exactly 377930 square km?,0
What capital has a population of exactly 1339724852?,0
What are all values for the male population in 2001 with a growth rate in 1991-01 of 36.16?,0
What are all values for male population in 2001 when sex ratio in 1991 is 896?,0
What is every growth rate in 1991-2001 when sex ratio in 2001 is 937?,0
What districts of Bihar have a sex ratio in 1991 of 864?,0
How many marriages between women have % same-sex marriages of 1.06?,0
What is the % of same-sex marriages for the year of 2011?,0
When was the episode number 2 originally aired?,0
"When was the episode titled ""The Parachute of Healing"" originally aired?",0
"Who was the writer of the episode titled ""The Parachute of Healing""?",0
What was the margin of victory of Steve Stricker as a runner up?,0
How many to par has the winning score of 69-66-68=203.,0
What horses does r. a. Scott own?,0
Which handicap has the horse knowhere?,0
What colors does David Langdon use?,0
"If the film title nominated is Baran, what was the result?",0
"For the Persian Title میم مثل مادر, what were the results?",0
"For the Persian title گبه, What was the film title used for the nomination?",0
What year had an Allison B400R transmission and a model of BRT?,0
What is the fleet number when the length (ft) is 30?,0
What is the fleet number when the transmission is Voith D863.4 and the engine is Cummins ISL?,0
Which year had a transmission of Voith D863.4 and a Cummins ISM engine?,0
Name the college/junior club team for ian turnbull,0
Name the position for nhl team being los angeles kings,0
Name the nhl times for jeff jacques,0
Name the college/junior club team for john campbell,0
What's the NHL team that drafted the player from Sudbury Wolves (OHA)?,0
What's the nationality of the player coming from Edmonton Oil Kings (WCHL)?,0
What's Steve Langdon's naitionality?,0
"When michigan technological university (ncaa) is the  college, junior, or club team what is the nationality?",0
"When kitchener rangers (oha) is the  college, junior, or club team team who is the player?",0
"When kitchener rangers (oha) is the college, junior, or club team what is the position?",0
What nationality for neil korzack?,0
Name the college that has 10000 enrolled,0
which country did stary get 17.41%,0
where did hancock get 3.09%,0
What is the BBM when the strike rate is 42.2?,0
What is the economy when the strike rate is 54.0?,0
What is the BBM when the strike rate is 42.2?,0
What is the strike rate when there are 17 wickets?,0
What is the LGA name where the 2006 census population is bigger than 425208.9417698913 and administrative capital is port harcourt?,0
What is the administrative capital of LGA name Akuku-Toru?,0
What is the administrative capital that has a 2006 census population of 249425?,0
What's the type of the school whose students are nicknamed Chargers?,0
"When was the school in Philadelphia, Pennsylvania founded?",0
How many candidates were there in the year of 1987?,3
"when standard speed (6th gear) is 88, what is the rpm?",0
What is the modified speed (6th gear) when standard torque (lb/ft) is 10.3 and modified torque (lb/ft) is 8.75?,0
When the standard torque (lb/ft) is 11.53 how much does more is the modified hp?,0
"Which time slot did the season finale on May 18, 2004 hold?",0
how many assists did the player who played 195 minutes make,0
how many times did debbie black block,0
how many assists did the player who scored 251 points make,0
What was the production number of the episode filmed in aug/sept 1968?,0
"Who directed ""report 2493:kidnap whose pretty girl are you""?",0
"When was ""report 4407: heart no choice for the donor"" filmed?",0
"When did the school from Logan Township, Pennsylvania join the Conference?",0
When was the private/non-sectarian school founded?,0
Where is the school whose students are nicknamed Panthers located?,0
"What's the isolation of the mountain peak with a prominence of 1340.549 = 4,397feet 1,340m?",0
"What's the isolation of the mountain peak with an elevation of 2705.793 = 8,875feet 2705m?",0
"What's the isolation of the mountain peak with prominence of 1340.549 = 4,397feet 1,340m?",0
How many steals did Nicole Levandusky make?,3
How many assists did Delisha Milton-Jones make?,3
Name the fa cup apps for arthur morton,0
Name the position for billy price,0
Name the nation where jeff barker is from,0
Name the fa cup apps for george green,0
Name the school that was founded in 1950,0
Name the location for eagles,0
Name the enrollment for 2007-08,0
Name the further cities for slovakia and west direction,0
Name the distance from north,0
Name the further cities for east romania,0
What's the nickname of the students of the school founded in 1933?,0
What is the type of the school whose students' nickname is tigers?,0
What's the type of the school whose students' name is spirits?,0
"What school is located in Chestnut Hill, Massachusetts?",0
"What type is the school located in Macon, Georgia?",0
"What's the nickname of the school in Maryville, Tennessee?",0
Where is the school with nickname Tigers located?,0
What's the nickname of the students of the school that joined the Conference in 2010?,0
When was Daniel Webster College founded?,0
Where is Southern Vermont College located?,0
In what year did the school with enrollment of 650 leave?,0
Name the institution for statesmen,0
Name the institution for yellowjackets,0
Name the type for hobart college,0
Name the location for 1829,0
Name the location of statesmen,0
"What location was the congressional service of which the term ended in January 3, 2011?",0
"What branch was involved when the term began in January 3, 1985?",0
"What year was the congressional service elected for a term beginning on January 3, 1989?",0
"What group was in office when the term ended in January 3, 1993?",0
What couple had vote percentage of 21.843%?,0
What couple had less than 2.0 points from the public?,0
"For couple Todd and Susie, what was the vote percentage?",0
When 9 is the rank who are the couple?,0
When 8 is the public what are the results?,0
Name the karen when nicky is 2.5,0
What is the capacity for the school that has the Owl Athletic Complex baseball stadium?,0
What is the name of the softball stadium for the school that has Eastern Baseball Stadium?,0
What is the name of UMass Boston's softball stadium?,0
What is the name of Rhode Island College's softball stadium?,0
What is the name of the baseball stadium for the school with the Murray Center basketball arena?,0
Where is the Westfield State University located?,0
"When was the school in Salem, Massachusetts located?",0
What's the nickname of Westfield State University's students?,0
What's Fitchburg State University's LEC sport?,0
Where is the school whose students are nicknamed falcons located?,0
What's Salem State University's primary conference?,0
Name the incumbent for north carolina 9,0
Name the incumbent for sue myrick (r) 69.0% jeff doctor (d) 31.0%,0
Name the result for north carolina 7,0
Name the incumbent for north carolina 9,0
"What's the type of the school in New London, Connecticut? ",0
"What school is located in Worcester, Massachusetts?",0
Who are the candidates in Florida 13 district?,0
Who were candidates in Florida 10 district?,0
What party got elected in Florida 9 district?,0
What incumbent was first elected in 2009?,0
How many were first elected in California 7?,0
What district did George Miller belong to?,0
When mark critz (d) 50.8% tim burns (r) 49.2% are the candidates what is the party?,0
When chris carney is the incumbent what are the results?,0
When 1994 is the first elected what is the district?,0
When pennsylvania 3 is the district who is the incumbent?,0
When 1984 is the first elected who are the candidates?,0
What is Salva Ortega's result?,0
"How many televotes are there for ""Lujuria""?",0
How many televotes are there where there is 4 jury votes?,0
How many jury votes for the televote of 7?,0
What is the result for Normativa Vigente?,0
What song has 24 votes?,0
How many votes does Carlos Ferrer Eai have?,0
Who won the French Open in 1999?,0
Who won the US Open in 1937?,0
Name the total for jamie carragher,0
What's the English name of the county called 太湖县 / 太湖縣 in Chinese?,0
What's the English name of the county with a postcode 246400?,0
What's the Chinese (simplified/traditional) name of Susong County?,0
What's the Pinyin name of the county with a postcode 246500?,0
Who was game number 8 played against?,0
Who did the high rebounds in the game in which five players (3) did the high assists?,0
What are all  the conjugated forms of the verb where the el/ ella/usted verb is piense?,0
What are all  the conjugated forms of the verb moler where the vosotros / vosotras is moláis for the yo tense?,0
What  us the conjucated form(s)  of  el/ella/ usted when the Vos (*) is muelas / molás?,0
What are the forms of the conjucated vos(*) where él / ella / usted is muela,0
What kind of vehicle is the agra 1050?,0
Who was the game on July 12 played against?,0
What was the record in the game where McWilliams (8) did the most high rebounds?,0
Who was the game on July 7 played against?,0
what is the owner of the callsign wliw,0
what is the virtual callsign if is wnet,0
what is the name of the branding where the virtual is 13.1,0
Name the party for bensalem,0
What was the result for the contestant whose background was as a business major?,0
What was the background of the contestant whose result was 11th place?,0
What was the result for the contestant who was a small business owner? ,0
What team was the contestant who finished in 10th place originally on? ,0
What is the hometown of the contestant whose background is as a financial consultant? ,0
What is the name of the episode with a night rank of 9?,0
"If the amount of viewers is 5.14 million and the rating/share is 2.0/6, what is the ranking?",0
"For cities with a census of 74000 in 1920, what was their census in 1890?",0
"For cities with a census of 296000 in 1940, what was their census in 1920?",0
Name the writers for swedish sailor,0
Name the principal of Northfield Junior-Senior High School.,0
What is the name of the school/s in North Manchester?,0
Name the school/s with is size of 604.,0
What is the IDOE Profile in North Manchester?,0
What are the grades served at Manchester Junior-Senior High School?,0
Who is the winning driver when rd. is 3?,0
Which report is where rd. is 9?,0
Who held the fastest lap in the race in texas and dario franchitti is the winning driver?,0
"Who animated ""Science Friction""",0
"What is the air date of ""Rah Rah Bear""?",0
What is the Pixie and Dixie skit in episode 7?,0
What is the Yogi Bear that aired on 1959.12.21?,0
"From brand Yes! FM 101.1, what was the frequency?",0
"If the branding is Yes! FM 91.1 Boracay, what is the power?",0
"If the call sign is DXYR, what is the branding?",0
When divisional semifinals are the playoffs what is the year?,0
When divisional finals are the playoffs what is the regular season?,0
When final is the open cup what is the league?,0
When 1995 is the year what is the open cup?,0
Where is the ballpark of the Twins?,0
Which flag was on the Green Marine's boat?,0
Who build the boat where Ken Read was the skipper?,0
Who were the builders of the boat designed by Botin Carkeek?,0
When did the episode with the Ririe family air for the first time?,0
Where was the episode with series number US9 filmed?,0
What family was featured in episode us14 of the series?,0
What episode in the series was the Amaral family featured?,0
Who is the round winner when entrant is craven mild racing?,0
Who is the round winner of the wanneroo park circuit?,0
Which circuit has two heats as the format?,0
Name the original air date for the potter family,0
where was the abbas family and the pickering family located,0
in which class is the position forward,0
in which season the position was center,0
in which class was the ohio state university,0
Name the family for uk31,0
Name the air date for uk17,0
Name the family/families uk17,0
What number truck is owned by Stephen Germain?,0
What team is sponsored by d3 Outdoors?,0
Who is the primary sponsor for crew cheif Rick Ren's team?,0
Who sponsors owner Bobby Dotter's team?,0
What's the price of the team whose captain is Sanath Jayasuriya?,0
What team is from the Eastern province?,0
Who's the head coach of the team with a price of $3.22 million?,0
What province does the Ruhuna Royals team come from?,0
When was Alexey Kuleshov born?,0
What is the trigger pack on the Colt 602 with the a1 rear sight type? ,0
What is the rear sight type on the model with the acr muzzle brake device? ,0
Which muzzle devices are on the Colt 603? ,0
How many millions of people in the US watched the episode with season number 8?,0
Name the winner for jason byrne,0
Name the rufus guest for episode 1x07,0
Name the winner for 26 january 2009,0
When was episode 2x11 aired for the first time?,0
Who won the episode in which Sean Lock was Rufus's guest?,0
When was the episode 2x10 aired for the first time?,0
Who was Marcus's guest in the episode when Rufus's guest was Rory McGrath?,0
Name the timeslot for 9.4 viewers for 2006,0
What was the author/editor/source when the l.a. ranking was 1st?,0
What was the publication year ranking l.a. is 1st?,0
What Wireless LAN had a process technology of 90nm and a Carmel centrino?,0
How many series had the chipset of the Intel Centrino Ultimate-N 6300 wireless LAN with the codename Arrandale?,0
What's the process technology of the Intel WiFi Link 5100 wireless LAN?,0
What type of processor does the Intel Centrino Wireless-N 105 wireless LAN have?,0
What's the code name of the wireless LAN with Chief River Centrino?,0
what is the registration located on 31 january 1975 where first flew?,0
at what location is the last flew on 11 june 2000,0
Who is the television commentator when the radio commentator is Galyna Babiy?,0
Who is the television commentator when the spokesperson is Kateryna Osadcha?,0
Who is the television commentator for the year 2006?,0
What is the season number of the episode seen by 10.11 million people in the US?,0
"What's the series number of the episode titled ""Rapture""?",0
"If the language is only native, what is the percentage of the San Antonio de Lomerio municipality?",0
What is the municipality percentage for San Antonio de Lomerio is San Javier municipality percentage is 31?,0
"If the Cuatro Cañadas municipality percentage is 252, what are all the San Antonio de Lomerío municipality percentage?",0
What is the San Javier municipality percentage if the Cuatro Cañadas municipality percentage is 202?,0
When was the dvd release directed by Billy O'Brien?,0
What was the record after game 20?,0
"For the game against Iowa, who had the most assists?",0
state high assists on february 15,0
Name the torque for 1986,0
What network showed the season with Australia as the destination?,0
What was the destination of the season won by Anwar Syed?,0
What season was won by Anthony Yeh?,0
Who won the season with Africa as its destination?,0
What is the African Spoonbill when the Hadeda Ibis is the Brown Snake Eagle?,0
What is the Hadeda Ibis when the Ostrich is Dark Chanting Goshawk?,0
What is the African Spoonbill when the Hadeda Ibis is Flernecked Nightjar?,0
What is the Hadeda Ibis when the Knobbilled Duck is Pied Crow?,0
What is the African Spoonbill when the Ostrich is Brown-hooded Kingfisher?,0
What is the Hadeda Ibis when the Whitefaced Duck is Blacksmith Plover?,0
Name the winning pilot for hungary,0
Name the country for hannes arch,0
Who wrote the episode with series number 45?,0
How many millions of people in the US saw the episode with production code 214?,3
What's the title of the episode seen by 3.8 million people in the US?,0
"Who wrote the episode titled ""Mission gone bad"" ""Trapped in Paris""?",0
Name the date for value 55c,0
Name the scott for chloropsis hardwickii,0
"In 2010, how many people lived in cities with a population density of 3,965.02?",0
What's the name of the barangay whose area is 3.6787 km² ?,0
"What state does the representative whose mission was terminated on November 29, 1973 represent?",0
"Who trained the representative whose presentation of credentials happened on February 24, 1950?",0
When was the film Här har du ditt liv used in nomination?,0
What's the original title of the film Zozo?,0
What's the original title of The New Land?,0
Name the outcome for wimbledon,0
"Name the opponets for  6–4, 3–6, 6–2",0
Name the surface for australian open for winner,0
What's the highest scoring team in the round in Ring Knutstorp in which Polestar Racing is the winning team?,0
What was the first leg result in the round against Norchi Dinamoeli?,0
which vehicles got best time of day 1:17.17,0
which driver got best time of day 1:16.93,0
What is the amount of assists when mins is 744:27?,0
What is the points number when rebounds is 4.4?,0
Who is the team with the ft% of 77.6?,0
When did Austin Austin TX get the third place?,0
Who was the first runner up in the year when Mesa Mesa AZ was the consolation winner?,0
Who has a religion of United Methodist and a prior background of a Congressional Aide?,0
What horse had a starting price of 14/1 and weighted 10-7?,0
What horse has the number 25?,0
How much does Point Barrow weight?,0
What are Andrew McNamara's colors?,0
Who wrote episode number 48,0
What was the original title of 3.19?,0
"What was the production code for ""down to earth""?",0
How many numbers have the product code of 2.6?,0
When 1.12 is the production code what is the original title?,0
"When ""the postcard"" is the original title what is the production code?",0
state the winnings of yates racing front row motorsports where poles were 0,0
"which team(s) won $2,605,05",0
what is kannada name ಕನ್ನಡ of tamil name தமிழ் anusham அனுஷம்,0
what is the malayalam name മലയാളം of tamil name தமிழ் punarpoosam புனர்பூசம்,0
what is the telugu name తెలుగు of kannada name ಕನ್ನಡ utthara ಉತ್ತರ,0
what is the sanskrit of western star name arcturus,0
what is the malayalam name മലയാളം of sanskrit uttarāṣāḍha उत्तराषाढा,0
Name the traditional for area 544,0
Name the foochow for pingnan county,0
Name the pinyin for  ciá-ìng-gâing,0
Name the traditional for  屏南县,0
Name the density for 古田縣,0
Name the english name for  福鼎市,0
What CFL team did Darcy Brown play for?,0
What CFL team did simeon rottier play for?,0
What college did étienne légaré play for?,0
What team was in position OL?,0
Who was the player for the CFL team hamilton tiger-cats (via bc via saskatchewan )?,0
What's the title of the audio book with story number 91?,0
When was the audio book with target number 069 69 released?,0
What's the format of the audio book titled The Mind Robber?,0
"who is the reader of the audiobook authored by cole, stephen stephen cole and released on 2008-11-13 13 november 2008",0
which companies released on 2010-11-04 4 november 2010,0
"which company released audiobooks authored by day, martin martin day",0
What player went to montreal college?,0
What player(s) drafted by the hamilton tiger-cats?,0
What position(s) drafted by the montreal alouettes?,0
"which company uses pinborough, sarah sarah pinborough?",0
who the reader of title department x?,0
"who is the reader on the download/cd format of the title written by author lidster, joseph joseph lidster? ",0
Name the landesliga mitte for fc gundelfingen and vfl frohnlach,0
Name the landesliga nord for  freier tus regensburg,0
Name the landesliga nord for asv neumarkt,0
Name the landesliga mitte sv türk gücü münchen,0
Name the landesliga sud for sg quelle fürth,0
What's the oil rig of the song that ended on 7th place?,0
How many points did the song with a draw number 3 get?,0
"If the title is Paradox Lost and the reader is Briggs, Nicholas Nicholas Briggs, what are all of the notes?",0
"If the title is The Way Through The Woods, what is the release date?",0
"If the reader is Syal, Meera Meera Syal, what was the release date?",0
What is the result of the book title firelands?,0
Which year is the book title the ordinary?,0
Who is the publisher of the book titled daughters of an emerald dusk?,0
What is the title of the book when the publisher is black car publishing?,0
What are the prizes when 1 is the number of winning tickets?,0
What are the number of winning tickets that have 180.00 as the prize (eur)?,0
How many odd of winning have 6th as the division?,0
What is the prize (eur) for the 6th division?,0
Which divisions have 565 as the number of winning tickets?,0
what is гә гә [ɡʷ] when ҕь ҕь [ʁʲ/ɣʲ] is ҭә ҭә [tʷʰ]?,0
What is гә гә [ɡʷ] when ҕ ҕ [ʁ/ɣ] is ҿ ҿ [t͡ʂʼ]?,0
what is г г [ɡ] when а а [a] is ҕә ҕә [ʁʷ/ɣʷ]?,0
what is а а [a] when ҕь ҕь [ʁʲ/ɣʲ] is ш ш [ʂʃ]?,0
what is а а [a] when гь гь [ɡʲ] is л л [l]?,0
what is ҕь ҕь [ʁʲ/ɣʲ] when гь гь [ɡʲ] is ҷ ҷ [t͡ʃʼ]?,0
Name the green for otaki,0
Name the national for rimutaka,0
Name the electoraate for united future being 4.47%,0
Which office has 1 New Hampshire as a third place state?,0
What office is Jon Huntsman a candidate for?,0
"Name the competition for australia 13, new zealand 40, drawn 3",0
Name the explanation by rank is 10,0
Name the order in office for spiro agnew,0
Name the explanation for alben w. barkley,0
What percentage of people voted for Obama in Burlington?,0
What percentage of voters choise McCain in Burlington?,0
What percentage of voters voted for a third party in the county that had 802 third party voters?,0
What percentage of voters chose McCain in the county where 1.1% of voters voted third party?,0
What percentage of voters chose McCain in the county where 2.1% of voters voted third party?,0
What county had 915 third party voters?,0
"Name the ply (uk, nz, au) for fingering ",0
Name the wraps per inch for 120-240,0
"Name the ply uk, nz, au for wraps per inch 7 wpi",0
Name the yarn type for standard yarn weight system for 3 or light,0
Name the standard yarn weight system for 7 wpi,0
Name the standard yarn weight system for 9 wpi,0
Name the overall nt points for 2nd m 127.5,0
"when 1st (m) is 218.0, what were all of the over wc points (rank)?",0
when 1st (m) is 212.5 what are the overall wc points (rank)?,0
When was the motor gear of the LMS 1946 no. 1901 model fitted?,0
what is the 3-dart average of raymond van barneveld,0
Who coached the team in the season with a 6-1 conference record?,0
How did the season with 7-2 conference record ed?,0
How many games did the player with 3-dart average of 66.86 play?,0
What player has a 3-dart average of 75.76?,0
What's Trina Gulliver's high checkout?,0
How many legs has the player with high checkout of 80 won?,3
Name the sanskrit word and meaning for aquarius,0
Name the zodiac for കന്നി,0
Name the malayalam name for leo,0
Name the transliteration for ചിങ്ങം,0
Where did McCain get 20226 votes?,0
What is the title of S02E01?,0
What TV order is written by gail simone?,0
who won mens doubles when zhou mi won womens singles,0
who won mixed doubles when zhou mi won womens singles,0
who won womens doubles in 2010,0
who won mixed doubles when wang yihan won womens singles,0
What percent of the parliamentary election did the pensioners party receive,0
how many won 83 points for?,0
which club is listed when bonus points is bonus points,0
"when points against is points again, which are the drawn?",0
when points for is 39 what is the total number of drawn,0
what is the mccain % where obama got 19.3%,0
where did obama get 39.8%,0
what is the obama # in carson city,0
where did obama get 41.3%,0
Namet he season for wins being 0 and 20 races,0
What is the Spanish title of the film whose title used in nomination was Ogu and Mampato in Rapa Nui? ,0
Who was the director of the film that was not nominated and had the Spanish title of play? ,0
What couple has an average of 17.2?,0
"How many crops were damaged when the public property damage was 1,03,049.60?",0
Where did Obama get 37.1%?,0
What's the county where McCain got 60.6% and Obama got 37.3%?,0
How many votes did Obama get in Geauga?,0
How many people voted for others in the county where McCain got 65.5% of the votes?,0
How many 140+ did Gary Anderson have?,0
What is Phil Taylor's 3-dart average?,0
Who is the guest 3 in the show where guest 4 is Jill Douglas?,0
Who is the guest 2 in the episode where guest 4 is Iyare Igiehon and guest 3 is John Oliver?,0
Who is the guest 1 in the episode where guest 4 is Jill Douglas?,0
What is the date of the episode in which the presenter is Johnny Vaughan?,0
Name the guest 4 for 8 december,0
Name the guest 4 for steve lamacq,0
Name the presenter 11 may,0
Name the guest 3 for iyare igiehon,0
Name the county for mccain being 38.78%,0
What percentage of the vote did McCain win in Waynesboro (city)?,0
What was Obama's percentage in those places where McCain's percentage was 55.46%?,0
What was Obama's percentage in the county of Alleghany?,0
What was Obama's percentage in the county of Surry?,0
How many percent of the votes in Debaca did McCain get?,0
What percentage of the votes did Obama get in the county where 3909 people voted in total?,0
What percentage of the votes did Obama get in the county where McCain got 3648 votes?,0
Who was the winner when the SEC team LSU played?,0
What suumer team was James Lomangino from St. John's on?,0
In what draft round in 2012 did a player from Rio Hondo get drafted?,0
What college did Aaron Slegers attend?,0
What are the statuses of the platelet counts for the conditions where the prothrombin time and partial thromboblastin time is unaffected? ,0
What is the status of partial thromboplastin times for conditions where the platelet count is decreased? ,0
In what conditions are both the platelet count and prothrombin time unaffected? ,0
What is the status of bleeding time for thrombocytopenia? ,0
What is the status of platelet counts for conditions where bleeding time is prolonged and partial thromboplastin time is unaffected? ,0
Which players made exactly 8 cuts?,0
what is the name for br no. 60501,0
what is the name for br no. 60501,0
When 23% scott mcadams (d) what are the dates administered?,0
Name the net profit for eps beign 1.19,0
Name the ebit for eps being 1.78,0
What's the production code of the episode written by Kirker Butler and directed by Dan Povenmire?,0
What was the weight in kg when the jockey was B. York? ,0
What was the result of the race where the jockey was J. Marshall? ,0
Name the date for moonee valley,0
What group was the Hollindale Stakes in?,0
What race has a distance of 1200 m?,0
What was the result for the time of 1-26.21?,0
Who was the jockey in group 1 at the 1400m distance at randwick?,0
What class was the 2nd - portillo?,0
What time for the entrant weighing 54.4kg?,0
"What is every entry for epoch if periselene is 5,454.925?",0
"What is every entry for epoch if periselene is 2,291.250?",0
What is every value of period when eccentricity is 0.583085?,0
What is every value of epoch if inclination is 90.063603?,0
What is every value for periselene if period is 4.947432?,0
What is the current tournament name for the event in Tampa?,0
What is the tier IV year for the tournament held in Tampa?,0
What is the city location of the tournament currently known as the Medibank International Sydney?,0
What shareholders have 0 A shares?,0
What percentage of votes does the shareholder with 78.19% of capital have?,0
Where did aaron wagner go to college,0
Where did the ol go to college?,0
Name the player for ol,0
Name the number for dl,0
Which companies have a free float of 0.2726?,0
What is every BSE code for a free float of 0.2726?,0
What is every GICS sector for free float of 0.3180?,0
What is every company with an index weighting % of 1 and the city of Dimitrovgrad?,0
When was the poll that showed 54% for and 22% undecided conducted?,0
When was Quantum Research's poll conducted?,0
Who conducted the poll with sample size of 2000 that shows 18% undecided?,0
How tall is the contestant from Ecuador?,3
How tall is the contestant from Aruba?,3
What country is the contestant from San Francisco de Yojoa from?,0
What are McCain's Percent when Obama has 36.47%?,0
Name th epopulation may for general terrero,0
Name the population may for cadalusan for population 1423,0
"What is the season number for Series #23, the Runway Job?",0
"Who is the director of the episode titled ""The Reunion Job""?",0
When was the episode written by Albert Kim aired for the first time?,0
"When was the episode titled ""The Boost Job"" originally aired?",0
"How many millions of people in the US saw the episode titled ""The Reunion Job""?",0
"Who wrote the episode titled ""The Morning After Job""?",0
Name the series number for  m. scott veach & rebecca kirsch,0
Name the number of viewers for series number 50,0
Name who directed season 1,0
What is the cross section area (cm 2) for the moment of intertia in torsion (j) (cm 4) 2.54?,0
What is the flange thickness (mm) for the weight (kg/m) 6.0?Wg,0
What is the flange thickness (mm) for the weight (kg/m) 10.4?,0
In what round was lyon (32) a 5 seed?,0
What was the result for Paris(48-byes) for 3 seed?,0
What was McCain's percentage when Obama had 64.39% of the vote?,0
What parish did McCain have 45.37% of the votes?,0
What was the original air date for the episode with production code 1wab06?,0
What title episode did Paris Barclay direct?,0
What was the production code for episode #1?,0
What was the production code for the episode with 3.38 million viewers?,0
"Who were the writers for ""Balm""?",0
What season number did production code  2wab12?,0
what is the written by and production code is 3wab03?,0
"How many seats were won, when the seats contested was 48?",0
How many seats are contested for independents?,0
What is the percentage seats contested for the revolutionary socialist party?,0
Who was the opponent when the attendance was exactly 16642?,0
What is the score for game #7?,0
"Who was the opponent on February 28, 1991",0
What was the date when the record was 1-0?,0
"What was the game #7, at or versus (home or at)?",0
Who did they play against in game 7?,0
What game number had an attendance of 2813?,0
What day did the play game number 9?,0
What was the result of the game when they were 2-1?,0
What was the record when the Bruins had 41 points?,0
What was the date for game 9?,0
What is the total of played where lost equals 4 and drawn equals 1?,0
How many drawn are there where the Club is new ross?,3
How may drawn equal points against at 129?,3
How many points differ from 134?,3
How many of the points difference lost equal 10?,3
How many teams that played won 0 games?,3
What are the public schools with a master's university?,0
What type of school had an enrollment in 2009 of 224?,0
Is art school public or private?,0
What school was founded in 1791?,0
Name the accrediatation for southeast technical institute,0
"What is the Italian word for the English word ""otter""?",0
"What is the French translation for the English word ""orange""?",0
"What is the Italian word for ""orange"" in English?",0
"What does the word ""frog""in English translate to in Italian?",0
Where are the Alexandria enrollment locations?,0
What is the control type which was founded in 1991?,0
What is the control type which was founded in 1818?,0
What year was Hartland College founded?,0
What type of school is Cordoba University?,0
What school is in Richmond?,0
What accreditation does Hollins University have?,0
What is the control for Christopher Newport University?,0
What type of school is Stratford University?,0
What type of school is Jefferson College of Health Sciences?,0
Name the nec record for 11th standing,0
Name the year for standing 9th,0
Name the year for t-10th,0
Name the regular season record for standing 11th,0
What country uses the title Marele Câștigător The Big Winner?,0
Silvio Santos is the presenter in what country?,0
What is the home town of David Noel?,0
"What is the high school for the player who's hometown is Blue Island, Il?",0
"What is the position of the player who's hometown is North Babylon, NY?",0
"What position is the player from Chapel Hill, NC?",0
"What is the height of the player from Gulfport, MS?",0
In what county did McCain get 57.8%?,0
What percentage did Obama get in Rutherford county?,0
What percentage did McCain get in Hamilton county?,0
What percentage did Obama get when McCain got 52.8%?,0
What percentage of the votes did McCain get in Hinds?,0
